title,authors,year,venue,theme,source
"Deep Variational Privacy Funnel: General Modeling with Applications in Face Recognition","Behrooz Razeghi; Parsa Rahimi; Sébastien Marcel","2024","","","fairface-citing"
"Generating and Controlling Diversity in Image Search","Md Mehrab Tanjim; Ritwik Sinha; Krishna Kumar Singh; Sridhar Mahadevan; David Arbour; Moumita Sinha; Garrison W. Cottrell","2022","2022 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV)","","fairface-citing"
"FairIF: Boosting Fairness in Deep Learning via Influence Functions with Validation Set Sensitive Attributes","Haonan Wang; Ziwei Wu; Jingrui He","2024","","","fairface-citing"
"On Adversarial Robustness of Demographic Fairness in Face Attribute Recognition","Huimin Zeng; Zhenrui Yue; Lanyu Shang; Yang Zhang; Dong Wang","2023","","","fairface-citing"
"A Multidimensional Analysis of Social Biases in Vision Transformers","Jannik Brinkmann; Paul Swoboda; Christian Bartelt","2023","","","fairface-citing"
"Investigating Labeler Bias in Face Annotation for Machine Learning","Luke Haliburton; Sinksar Ghebremedhin; Robin Welsch; Albrecht Schmidt; Sven Mayer","2024","Frontiers in artificial intelligence and applications","","fairface-citing"
"Fairness in Oculomotoric Biometric Identification","Paul Prasse; David R. Reich; Silvia Makowski; Lena A. Jäger; Tobias Scheffer","2022","","","fairface-citing"
"Multi-dataset fusion for multi-task learning on face attribute recognition","Hengjie Lu; Shugong Xu; Jiahao Wang","2023","Pattern Recognition Letters","","fairface-citing"
"Investigating CLIP Performance for Meta-data Generation in AD Datasets","Sujan Sai Gannamaneni; Arwin Sadaghiani; Rohil Prakash Rao; Michael Möck; Maram Akila","2023","","","fairface-citing"
"Facial Expression Recognition in the Wild from Attention to Vision Transformer based CNNs","Kuan-Hsien Liu; Xiang-Kun Shih; Tsung-Jung Liu","2023","","","fairface-citing"
"MIME: Minority Inclusion for Majority Group Enhancement of AI Performance","Pradyumna Chari; Yunhao Ba; Shreeram Athreya; Achuta Kadambi","2022","Lecture notes in computer science","","fairface-citing"
"Defense Against Reconstruction Attacks in Split Federated Learning Through Decreasing Correlation Between Inputs and Activations","Xingming Luo; Yaochi Zhao; Zhuhua Hu; Yanfei Zhu; Jiezhuo Zhong","2023","","","fairface-citing"
"The CHROMA-FIT Dataset: Characterizing Human Ranges of Melanin For Increased Tone-awareness","Gabriella Pangelinan; Xavier Merino; Samuel Langborgh; Kushal Vangara; Joyce Annan; Audison Beaubrun; Troy R. Weekes; Michael C. King","2024","","","fairface-citing"
"Enhancing Resilience in Biometric Research: Generation of 3D Synthetic Face Data Using Advanced 3D Character Creation Techniques from High-Fidelity Video Games and Animation","Florian Blümel; Mathias Schulz; Ralph Breithaupt; Norbert Jung; Robert Lange","2024","Sensors","","fairface-citing"
"SDFD: Building a Versatile Synthetic Face Image Dataset with Diverse Attributes","Georgia Baltsou; Ioannis Sarridis; Christos Koutlis; Symeon Papadopoulos","2024","","","fairface-citing"
"Residual feature decomposition and multi-task learning-based variation-invariant face recognition","Abbas Haider; Guanfeng Wu; Ivor Spence; Hui Wang","2024","Neural Computing and Applications","","fairface-citing"
"Learning Fair Invariant Representations under Covariate and Correlation Shifts Simultaneously","Dong Li; Chen Zhao; M. Shao; Wenjun Wang","2024","","","fairface-citing"
"GAMMA-FACE: GAussian Mixture Models Amend Diffusion Models for Bias Mitigation in Face Images","Basudha Pal; Arunkumar Kannan; Ram Prabhakar Kathirvel; Alice J. O’Toole; Rama Chellappa","2024","Lecture notes in computer science","","fairface-citing"
"DiversiNet: Mitigating Bias in Deep Classification Networks across Sensitive Attributes through Diffusion-Generated Data","Basudha Pal; Aniket Roy; Ram Prabhakar Kathirvel; Alice J. O’Toole; Rama Chellappa","2024","","","fairface-citing"
"Image-Perfect Imperfections: Safety, Bias, and Authenticity in the Shadow of Text-To-Image Model Evolution","Yixin Wu; Yun Shen; Michael Backes; Yang Zhang","2024","","","fairface-citing"
"Unbiased-Diff: Analyzing and Mitigating Biases in Diffusion Model-Based Face Image Generation","Malsha V. Perera; Vishal M. Patel","2025","IEEE Transactions on Biometrics Behavior and Identity Science","","fairface-citing"
"TONO: A Synthetic Dataset for Face Image Compliance to ISO/ICAO Standard","Guido Borghi; Annalisa Franco; Nicolò Di Domenico; Davide Maltoni","2025","Lecture notes in computer science","","fairface-citing"
"Robust Character Labeling in Movie Videos: Data Resources and Self-Supervised Feature Adaptation","Krishna Somandepalli; Rajat Hebbar; Shrikanth Narayanan","2021","IEEE Transactions on Multimedia","","fairface-citing"
"Expression Transfer Using Flow-based Generative Models","Andrea Valenzuela; Carlos Segura; Ferran Diego; Vicenç Gómez","2021","","","fairface-citing"
"VL-BERT+: Detecting Protected Groups in Hateful Multimodal Memes","Piush Aggarwal; Michelle Espranita Liman; Darina Gold; Torsten Zesch","2021","","","fairface-citing"
"Visualizing Deep Neural Networks with Topographic Activation Maps","Valerie Krug; Raihan Kabir Ratul; Christopher Olson; Sebastian Stober","2023","Frontiers in artificial intelligence and applications","","fairface-citing"
"Evaluating Gender-Neutral Training Data for Automated Image Captioning","Jack J Amend; Albatool Wazzan; Richard Souvenir","2021","2021 IEEE International Conference on Big Data (Big Data)","","fairface-citing"
"Discover Customers’ Gender From Online Shopping Behavior","Yuan An; Siqiao Meng; Hao Wu","2022","IEEE Access","","fairface-citing"
"F3: Fair and Federated Face Attribute Classification with Heterogeneous Data","Samhita Kanaparthy; Manisha Padala; Sankarshan Damle; Ravi Kiran Sarvadevabhatla; Sujit Gujar","2023","Lecture notes in computer science","","fairface-citing"
"The Influence of Gender and Skin Colour on the Watchlist Imbalance Effect in Facial Identification Scenarios","Jascha Kolberg; Christian Rathgeb; Christoph Busch","2023","Lecture notes in computer science","","fairface-citing"
"Multimodal Bias: Assessing Gender Bias in Computer Vision Models with NLP Techniques","Abhishek Mandal; Suzanne Little; Susan Leavy","2023","INTERNATIONAL CONFERENCE ON MULTIMODAL INTERACTION","","fairface-citing"
"Deeper Notions of Correctness in Image-Based DNNs: Lifting Properties from Pixel to Entities","Felipe Toledo; David Shriver; Sebastian Elbaum; Matthew B. Dwyer","2023","","","fairface-citing"
"Discovering and Mitigating Biases in CLIP-based Image Editing","Md Mehrab Tanjim; Krishna Kumar Singh; Kushal Kafle; Ritwik Sinha; Garrison W. Cottrell","2024","","","fairface-citing"
"An Approach for Automatic Description of Characters for Blind People","Itamar Rocha Filho; Felipe Antônio Honorato; J. Wallace Lucena; J. Pedro Teixeira; Tiago Maritan","2021","","","fairface-citing"
"Gender Classification beyond Visible Spectrum using Shallow Convolution Neural Network","Nilu R. Salim; Nagamuthu Krishnan Sundarasrinivasa Sankaranarayanan; Umarani Jayaraman","2021","","","fairface-citing"
"Information-Theoretic Bias Assessment Of Learned Representations Of Pretrained Face Recognition","Jiazhi Li; Wael AbdAlmageed","2021","2021 16th IEEE International Conference on Automatic Face and Gesture Recognition (FG 2021)","","fairface-citing"
"Natural contrast statistics facilitate human face categorization","Joan Liu‐Shuang; Yufang Yang; Bruno Rossion; Valérie Goffaux","2022","","","fairface-citing"
"A Fair Generative Model Using LeCam Divergence","Soobin Um; Changho Suh","2023","Proceedings of the AAAI Conference on Artificial Intelligence","","fairface-citing"
"Artificial Intelligence Approaches for Skin Anti-aging and Skin Resilience Research","Anastasia Georgievskaya; Daniil Danko; Richard A. Baxter; Hugo Corstjens; Timur Tlyachev","2023","Healthy ageing and longevity","","fairface-citing"
"CFEW: A Large-Scale Database for Understanding Child Facial Expression in Real World","Chuangao Tang; Sunan Li; Wenming Zheng; Yuan Zong; Su Zhang; Cheng Lu; Yan Zhao","2023","IEEE Transactions on Affective Computing","","fairface-citing"
"Disentangling the latent space of GANs for semantic face editing","Niu Yong-jie; Mingquan Zhou; Zhan Li","2023","PLoS ONE","","fairface-citing"
"Determinants of Shared and Idiosyncratic Contributions to Judgments of Faces","Daniel N. Albohn; Joel E. Martínez; Alexander Todorov","2023","","","fairface-citing"
"Leveraging Diffusion Perturbations for Measuring Fairness in Computer Vision","Nicholas Lui; Bryan Chia; William Berrios; Candace Ross; Douwe Kiela","2024","Proceedings of the AAAI Conference on Artificial Intelligence","","fairface-citing"
"Feature and Label Embedding Spaces Matter in Addressing Image Classifier Bias","William Thong; Cees G. M. Snoek","2021","","","fairface-citing"
"CAT: Controllable Attribute Translation for Fair Facial Attribute Classification","Jiazhi Li; Wael AbdAlmageed","2023","Lecture notes in computer science","","fairface-citing"
"Measuring Descriptive Representation at Scale: Methods for Predicting the Race and Ethnicity of Public Officials","Diana Da In Lee; Yamil Velez","2023","","","fairface-citing"
"Characterizing the lack of diversity in musculoskeletal urgent care website content","Chloe C. Dlott; Tanner Metcalfe; Anchal Bahel; Sanjana Jain; Claire A. Donnelley; Jehanzeb Kayani; Daniel H. Wiznia","2023","BMC Health Services Research","","fairface-citing"
"New Coarse-to-Fine Approaches for Age Estimation Based on Separable Convolutions","Y. Huang; Hsin-Lung Wu","2023","IEEE Access","","fairface-citing"
"Audio-Visual Child-Adult Speaker Classification in Dyadic Interactions","Anfeng Xu; Kevin Huang; Tiantian Feng; Helen Tager‐Flusberg; Shrikanth Narayanan","2024","","","fairface-citing"
"An Empirical Investigation into Benchmarking Model Multiplicity for Trustworthy Machine Learning: A Case Study on Image Classification","Prakhar Ganesh","2024","","","fairface-citing"
"Benchmarking the Fairness of Image Upsampling Methods","Mike Laszkiewicz; Imant Daunhawer; Julia E. Vogt; Asja Fischer; Johannes Lederer","2024","","","fairface-citing"
"Representation Biases in Time-Series Human Activity Recognition with Small Sample Sizes","Nilah Ravi Nair; Lena Schmid; Christopher Reining; Fernando Moya Rueda; Markus Pauly; Gernot A. Fink","2024","Lecture notes in computer science","","fairface-citing"
"M<sup>3</sup> Stroke: Multi-Modal Mobile AI for Emergency Triage of Mild to Moderate Acute Strokes","Tongan Cai; Kelvin Wong; James Z. Wang; Xiaolei Huang; Xiaohui Yu; John Volpi; Stephen T.C. Wong","2024","","","fairface-citing"
"InvDiff: Invariant Guidance for Bias Mitigation in Diffusion Models","Min Hou; Yueying Wu; Chang Xu; Yu-Hao Huang; Chenxi Bai; Le Wu; Jiang Bian","2025","","","fairface-citing"
"Coverage for Detecting Bias in Facial Recognition Datasets","Sakshi Mhatre; Brian Lee; Erin Lanus; Laura Freeman","2025","","","fairface-citing"
"Representations of Racial Minorities in Popular Movies: A Content-Analytic Synergy of Computer Vision and Network Science","Musa Malik; Frederic R. Hopp; René Weber","2021","","","fairface-citing"
"Ethics of AI: Do the Face Detection Models Act with Prejudice?","Marcos Vinícius Ferreira; Ariel Almeida; João Paulo Canário; Matheus Souza; Tatiane Nogueira; Ricardo A. Rios","2021","Lecture notes in computer science","","fairface-citing"
"Simplicity Bias Leads to Amplified Performance Disparities","Samuel J. Bell; Levent Sagun","2023","","","fairface-citing"
"Contextual Emotion Learning Challenge","Jainendra Shukla; Puneet Gupta; Aniket Bera; Arka Sarkar; Prakhar Goel; Shubhangi Butta; Anup Kumar Gupta; Snehil Sanyal; Debanga Rai Neog; M. K. Bhuyan; Kalyani Marathe; Linda G. Shapiro; Alex Colbrn; Varchita Lalwani","2021","2021 16th IEEE International Conference on Automatic Face and Gesture Recognition (FG 2021)","","fairface-citing"
"3D Face Cartoonizer: Generating Personalized 3D Cartoon Faces from 2D Real Photos with a Hybrid Dataset","Ming Guo; Shunfei Wang; Zhibo Wang; Ming Lu; Xiufen Cui; Xiao Ling; Feng Xu","2022","Lecture notes in computer science","","fairface-citing"
"Fairness in Predictive Learning Analytics: A Case Study in Online STEM Education","Ali Al-Zawqari; Gerd Vandersteen","2023","","","fairface-citing"
"Mutual Information-Based Fair Active Learning","Ryosuke Sonoda; Ramya Srinivasan","2024","","","fairface-citing"
"A Self-Supervised Learning Pipeline for Demographically Fair Facial Attribute Classification","Sreeraj Ramachandran; Ajita Rattani","2024","","","fairface-citing"
"FEED: Fairness-Enhanced Meta-Learning for Domain Generalization","Kai Jiang; Chen Zhao; Haoliang Wang; Feng Chen","2024","","","fairface-citing"
"An Analysis of Bias in Facial Image Processing: A Review of Datasets","Amarachi M. Udefi; Segun Aina; Aderonke R. Lawal; Adeniran I. Oluwarantie","2023","International Journal of Advanced Computer Science and Applications","","fairface-citing"
"FRLL-Beautified: A Dataset of Fun Selfie Filters with Facial Attributes","Shubham Tiwari; Yash Sethia; Ashwani Tanwar; Ritesh Kumar; Rudresh Dwivedi","2023","Communications in computer and information science","","fairface-citing"
"Fair Robust Active Learning by Joint Inconsistency","Tsung-Han Wu; Hung-Ting Su; Shang-Tse Chen; Winston H. Hsu","2023","","","fairface-citing"
"Zero-Shot Demographically Unbiased Image Generation From an Existing Biased StyleGAN","A. Jain; Rishit Dholakia; Nasir Memon; Julian Togelius","2024","IEEE Transactions on Biometrics Behavior and Identity Science","","fairface-citing"
"Review on fairness in image recognition","Mei Wang; Weihong Deng; Sen Su","2024","Journal of Image and Graphics","","fairface-citing"
"Privacy-preserving inference resistant to model extraction attacks","Junyoung Byun; Yujin Choi; Jaewook Lee; Saerom Park","2024","Expert Systems with Applications","","fairface-citing"
"Study on the Generation and Comparative Analysis of Ethnically Diverse Faces for Developing a Multiracial Face Recognition Model","Yeongje Park; Junho Baek; Seunghyun Kim; Seung-Min Jeong; Hyunsoo Seo; Eui Chul Lee","2024","Electronics","","fairface-citing"
"Fine-Tuning a Biased Model for Improving Fairness","Huiqiang Chen; Tianqing Zhu; Bo Liu; Wanlei Zhou; Philip S. Yu","2024","IEEE Transactions on Big Data","","fairface-citing"
"Mitigating Bias Using Model-Agnostic Data Attribution","Sander De Coninck; Sam Leroux; Pieter Simoens","2024","","","fairface-citing"
"Parent GAN: image generation model for creating parent’s images using children’s images","Mohamed Moheeb Emara; Mohamed Hesham Farouk; Mohamed Waleed Fakhr","2024","Multimedia Tools and Applications","","fairface-citing"
"Contexts Matter: An Empirical Study on Contextual Influence in Fairness Testing for Deep Learning Systems","Chengwen Du; Tao Chen","2024","","","fairface-citing"
"Mitigating Racial Bias in Facial Expression Recognition Using Enhanced Data Diversification Techniques","Sagar Sidana; Sujata Negi Thakur; Sandeep Kumar; R D Gomathi; Anurag Sinha; Arshroop Singh Saini; Petheru Raj; Karan Dixit; Vikas Kumar; Ahmed Alkhayyat","2024","","","fairface-citing"
"A large-scale study of performance and equity of commercial remote identity verification technologies across demographics","Kaniz Fatima; Michael E. Schuckers; Gerardo Cruz-Ortiz; Daqing Hou; Sandip Purnapatra; T. Andrews; Ambuj Neupane; B. Marshall; Stephanie Schuckers","2024","","","fairface-citing"
"TrojFair: Trojan Fairness Attacks","Jiaqi Xue; Mengxin Zheng; Yi Sheng; Lei Yang; Qian Lou; Lei Jiang","2023","","","fairface-citing"
"Defender of privacy and fairness: Tiny but reversible generative model via mutually collaborative knowledge distillation","Sissi Xiaoxiao Wu; Zehong Huang; Zhicong Liang; Lin Gu; Tatsuya Harada; Zheng Li; Yingying Zhu","2024","Neurocomputing","","fairface-citing"
"Information Leakage Measures for Imperfect Statistical Information: Application to Non-Bayesian Framework","Shahnewaz Karim Sakib; George T. Amariucai; Yong Guan","2024","IEEE Transactions on Information Forensics and Security","","fairface-citing"
"Cross-Modal Simplex Center Learning for Speech-Face Association","Qiming Ma; Fanliang Bu; Rong Wang; Lingbin Bu; Yifan Wang; Zhiyuan Li","2025","Computers, materials & continua/Computers, materials & continua (Print)","","fairface-citing"
"Federated Learning based Gender Classification in Heterogeneous and Distributed Data having Concept Drift","Vishwash Sharma; VenkataHemant Kumar Reddy Challa; Pasupuleti Pranavi; Rimjhim Padam Singh","2025","Procedia Computer Science","","fairface-citing"
"Facial expression-based lie detection: A survey of micro expression analysis, datasets and challenges","Amira A. Hussein; Israa Hazem Ali","2025","AIP conference proceedings","","fairface-citing"
"Visual context-aware attribute-preserving face de-identification","Hyeonwoo Kim; Jonghwa Shim; Sungwoo Park; Eenjun Hwang","2025","Neurocomputing","","fairface-citing"
"Algorithmic Bias Detection: A Focus on Skin Tone and Gender Fairness in AI Models","Happy Iguare; Peter Taiwo","2025","","","fairface-citing"
"SafeTriage: Facial Video De-identification for Privacy-Preserving Stroke Triage","Tongan Cai; Haomiao Ni; Wenchao Ma; Yuan Xue; Qian Ma; Rachel Leicht; Kelvin Wong; John Volpi; Stephen T.C. Wong; James Z. Wang; Xiaolei Huang","2025","Lecture notes in computer science","","fairface-citing"
"TrustSkin: A Fairness Pipeline for Trustworthy Facial Affect Analysis Across Skin Tone","Ana M. Cabanas; Alma Pedro; Domingo Mery","2025","","","fairface-citing"
"Rethinking Common Assumptions to Mitigate Racial Bias in Face Recognition Datasets","Matthew Gwilliam; Srinidhi Hegde; Lade Tinubu; Alex Hanson","2021","","","fairface-citing"
"Are average Faces Master Faces?","Andre Dorsch; Christian Rathgeb; Mathias Ibsen; Christoph Busch","2022","","","fairface-citing"
"Mask images on Twitter increase during COVID-19 mandates, especially in Republican counties","Xiaofeng Lin; Georgia Kernell; Tim Groeling; Jungseock Joo; Jun Luo; ZACHARY STEINERT-THRELKELD","2022","Scientific Reports","","fairface-citing"
"Implementasi Algoritma Convolutional Neural Network Untuk Identifikasi Jenis Kelamin Dan Ras","Notasonda Soni Putra; Benedika Ferdian Hutabarat; Ulfa Khaira","2023","Decode Jurnal Pendidikan Teknologi Informasi","","fairface-citing"
"Quality Map Fusion for Adversarial Learning","Uche Osahor; Nasser M. Nasrabadi","2021","","","fairface-citing"
"Anatomizing Bias in Facial Analysis","Richa Singh; Puspita Majumdar; Surbhi Mittal; Mayank Vatsa","2022","Proceedings of the AAAI Conference on Artificial Intelligence","","fairface-citing"
"Algorithmic fairness datasets: the story so far","Alessandro Fabris; Stefano Messina; Gianmaria Silvello; Gian Antonio Susto","2022","Data Mining and Knowledge Discovery","","fairface-citing"
"Enhancing Fairness of Visual Attribute Predictors","T. Hänel; Nishant Kumar; Dmitrij Schlesinger; Mengze Li; Erdem Ünal; Abouzar Eslami; Stefan Gumhold","2023","Lecture notes in computer science","","fairface-citing"
"24-GAN: Portrait Generation with Composite Attributes","Ji‐In Kim; Heekyung Yang; Kyungha Min","2022","Mathematics","","fairface-citing"
"In-group and Out-group Performance Bias in Facial Retouching Detection","Aparna Bharati; Emma Connors; Mayank Vatsa; Richa Singh; Kevin W. Bowyer","2022","","","fairface-citing"
"Towards Heterogeneous Federated Learning","Yue Huang; Yonghui Xu; Lanju Kong; Qingzhong Li; Lizhen Cui","2023","Communications in computer and information science","","fairface-citing"
"Deep Curvilinear Editing: Commutative and Nonlinear Image Manipulation for Pretrained Deep Generative Model","Takehiro Aoshima; Takashi Matsubara","2023","","","fairface-citing"
"Detecting and Processing Unsuspected Sensitive Variables for Robust Machine Learning","Laurent Risser; Agustin Martin Picard; Lucas Hervier; Jean–Michel Loubes","2023","Algorithms","","fairface-citing"
"Presenter-Centric Image Collection and Annotation: Enhancing Accessibility for the Visually Impaired","Luísa Ferreira; Daniel L. Fernandes; Fábio Ribeiro Cerqueira; Marcos Aguiar Ribeiro; Michel Goulart da Silva","2023","","","fairface-citing"
"Leveraging Diffusion and Flow Matching Models for Demographic Bias Mitigation of Facial Attribute Classifiers","Sreeraj Ramachandran; Ajita Rattani","2023","","","fairface-citing"
"Improving the Accuracy of Gender Classification Based on Skin Tone Using Convolutional Neural Network: Transfer Learning (CNN-TL)","Muhammad Firdaus Mustapha; Nur Maisarah Mohamad; Siti Haslini Ab Hamid; Nik Amnah Shahidah Abdul Aziz","2024","Lecture notes in electrical engineering","","fairface-citing"
"Fairness Meets Cross-Domain Learning: A Benchmark of Models and Metrics","Leonardo Iurada; Silvia Bucci; Timothy M. Hospedales; Tatiana Tommasi","2024","IEEE Access","","fairface-citing"
"Time-travel rephotography","Xuan Luo; Xuaner Zhang; Paul Yoo; Ricardo Martin-Brualla; Jason Lawrence; Steven M. Seitz","2021","ACM Transactions on Graphics","","fairface-citing"
"A Framework of Potential Sources of Harm Throughout the Machine Learning Life Cycle","Harini Suresh; John V. Guttag","2021","DSpace@MIT (Massachusetts Institute of Technology)","","fairface-citing"
"SIMILAR: Submodular Information Measures Based Active Learning In Realistic Scenarios","Suraj Kothawade; Nathan Beck; Krishnateja Killamsetty; Rishabh Iyer","2021","arXiv (Cornell University)","","fairface-citing"
"Proceedings of the 5th Workshop on Online Abuse and Harms (WOAH 2021)","Aida Bertie; Lambert Douwe; Aida Davani; Douwe Kiela; Mathias Lambert; Bertie Vidgen; Sarfaraz Syed; Akhtar; Mark Alfano; Andrew Caines; Aron Culotta; Thomas Davidson; Lucas Dixon; Paula Fortuna; Marco Guerini; Alex Harris; Christopher Homan; Nishant Kambhatla; Simon Fraser; Brendan Kennedy; Ralf Krestel; Debora Nozza; Viviana Patti; Michal Ptaszynski; Bjrn Ross; Laila Sprejer; Tristan Thrush; Sara Tonelli; Avijit Vajpayee; Joris Van Hoboken; Jing Xu; Seunghyun Yoon; Henry Weld; Guanghao Huang; Jean Lee; Tongshu Zhang; Kunze Wang; Xinghong Guo; Siqu Long; Josiah Poon; Caren Soyeon; Han; Milo Trujillo; Sam Rosenblatt; Guillermo De; Anda Juregui; Emily Moog; Paul Samson; Laurent Hbert-Dufresne; Allison Roth; Alexander Shvets; Juan Soler; Leo Wanner; Thales Bertaglia; Andreea Grigoriu; Michel Dumontier; Gijs Van Dijck; Lambert Mathias; Shaoliang Nie; Vin- Odkumar Prabhakaran; Zeerak Waseem; Piush Aggarwal; Michelle Liman; Darina Gold; Torsten Racist; Haris Bin; Ignacio Castro; Gareth Tyson; Vasiliki Kougia; John Pavlopoulos; Sumer Singh; Sheng Li; Ashish Vaswani; Noam Shazeer; Niki Parmar; Jakob Uszkoreit; Llion Jones; Aidan Gomez; Yiming Yang; Jaime Car- Bonell; Ruslan Salakhutdinov; Quoc Le; Xlnet; Marcos Zampieri; Shervin Malmasi; Preslav Nakov; Sara Rosenthal; Noura Farra; Ritesh Kumar; Ronghang Zhu; Xiaodong Jiang; Jiasen Lu; Ibrahim Abu; Farha; Walid Magdy; Cristina Valerio Basile; Elisabetta Bosco; Debora Fersini; Viviana Nozza; Francisco Patti","2021","","","fairface-citing"
"Why and How Governments Should Monitor AI Development","Jess Whittlestone; Jack Clark","2021","arXiv (Cornell University)","","fairface-citing"
"Understanding and Mitigating Annotation Bias in Facial Expression Recognition","Yunliang Chen; Jungseock Joo","2021","arXiv (Cornell University)","","fairface-citing"
"Fairness Testing of Deep Image Classification with Adequacy Metrics","Peixin Zhang; Jingyi Wang; Jun Sun; Xinyu Wang","2021","arXiv (Cornell University)","","fairface-citing"
"Decoding biological age from face photographs using deep learning","Osbert C. Zalay; Dennis Bontempi; Danielle S. Bitterman; Nicolai J. Birkbak; Derek Shyr; Fridolin Haugg; Jack M. Qian; Hannah Roberts; Subha Perni; Vasco Prudente; Suraj Pai; André Dekker; Benjamin Haibe‐Kains; Christian V. Guthier; Tracy A. Balboni; Laura Warren; Monica Krishan; Benjamin H. Kann; Charles Swanton; Dirk De Ruysscher; Raymond H. Mak; Hugo J.W.L. Aerts","2023","medRxiv","","fairface-citing"
"Measuring Representation of Race, Gender, and Age in Children’s Books: Face Detection and Feature Classification in Illustrated Images","Teodora Szasz; Emileigh Harrison; Jung‐Ping Liu; Ping‐Chang Lin; Hakizumwami Birali Runesha; Anjali Adukia","2022","SSRN Electronic Journal","","fairface-citing"
"Can Less be More? When Increasing-to-Balancing Label Noise Rates Considered Beneficial","Yang Liu; Jialu Wang","2021","arXiv (Cornell University)","","fairface-citing"
"Market Design Choices, Racial Discrimination, and Equitable Micro-Entrepreneurship in Digital Marketplaces","Mohammed Alyakoob; Mohammad Saifur Rahman","2022","SSRN Electronic Journal","","fairface-citing"
"Deepfake Videos in the Wild: Analysis and Detection","Jiameng Pu; Neal Mangaokar; Lauren Kelly; Parantapa Bhattacharya; Kavya Sundaram; Mobin Javed; Bolun Wang; Bimal Viswanath","2021","arXiv (Cornell University)","","fairface-citing"
"Fair Federated Learning for Heterogeneous Face Data.","Samhita Kanaparthy; Manisha Padala; Sankarshan Damle; Sujit Gujar","2021","arXiv (Cornell University)","","fairface-citing"
"Evaluating and mitigating unfairness in multimodal remote mental health assessments","Zifan Jiang; Salman Seyedi; Emily Griner; Ahmed Abbasi; Ali Bahrami Rad; Hyeokhyen Kwon; Robert O. Cotes; Gari D. Clifford","2023","medRxiv","","fairface-citing"
"Dsap: Analyzing Bias Through Demographic Comparison of Datasets","Iris Dominguez-Catena; Daniel Paternain Dallo; Mikel Galar","2024","SSRN Electronic Journal","","fairface-citing"
"PrimateFace: A Machine Learning Resource for Automated Face Analysis in Human and Non-human Primates","Felipe Parodi; Jordan Matelsky; AP Lamacchia; Melanie Segado; Yaoguang Jiang; Alejandra Regla-Vargas; L Sofi; Clare M. Kimock; Bridget M. Waller; M. L Platt; Konrad P. Körding","2025","bioRxiv (Cold Spring Harbor Laboratory)","","fairface-citing"
"Metrics for Dataset Demographic Bias: A Case Study on Facial Expression Recognition","Iris Dominguez-Catena; Daniel Paternain; Mikel Galar","2023","arXiv (Cornell University)","","fairface-citing"
"Adaptive Temperature Distillation Method for Mining Hard Sample's Knowledge","Shunzhi Yang; Liuchi Xu; Jin Ren; Jinfeng Yang; Zhenhua Huang; Zheng Gong","2023","SSRN Electronic Journal","","fairface-citing"
"Canonical Saliency Maps: Decoding Deep Face Models","Thrupthi Ann John; Vineeth N Balasubramanian; C. V. Jawahar","2021","arXiv (Cornell University)","","fairface-citing"
"Fairness Properties of Face Recognition and Obfuscation Systems","Harrison Rosenberg; Brian Tang; Kassem Fawaz; Somesh Jha","2021","arXiv (Cornell University)","","fairface-citing"
"Explainability Requires Interactivity","Matthias Kirchler; Martin Graf; Marius Kloft; Christoph Lippert","2021","arXiv (Cornell University)","","fairface-citing"
"Detecting Harmful Memes and Their Targets","Shraman Pramanick; Dimitar I. Dimitrov; Rituparna Mukherjee; Shivam Sharma; Md Shad Akhtar; Preslav Nakov; Tanmoy Chakraborty","2021","arXiv (Cornell University)","","fairface-citing"
"A Hybrid Algorithm for Face Detection to Avoid Racial Inequity Due to Dark Skin","Muhammad Shoaib Farooq; Syed Sarmad Abbas; Adnan Abid; Saim Rasheed","2021","IEEE Access","","fairface-citing"
"Natural contrast statistics facilitate human face categorization","Joan Liu‐Shuang; Yufang Yang; Bruno Rossion; Valérie Goffaux","2022","","","fairface-citing"
"Shifting Our Awareness, Taking Back Tags: Temporal Changes in Computer Vision Services’ Social Behaviors","Pınar Barlas; Maximilian Krahn; Styliani Kleanthous; Kyriakos Kyriakou; Jahna Otterbacher","2022","Proceedings of the International AAAI Conference on Web and Social Media","","fairface-citing"
"Multimodal Adversarial Learning","Uche Osahor","2022","","","fairface-citing"
"CAST: Conditional Attribute Subsampling Toolkit for Fine-grained Evaluation","Wes Robbins; Steven Zhou; Aman Bhatta; Chad Mello; Vítor Albiero; Kevin W. Bowyer; Terrance E. Boult","2023","2023 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV)","","fairface-citing"
"A Differentiable Distance Approximation for Fairer Image Classification","Nicholas Rosa; Tom Drummond; Mehrtash Harandi","2023","Lecture notes in computer science","","fairface-citing"
"A Recognition Method of Masked Face","Yoshihiko Kawai; Takahiro Mochizuki; Masahide Naemura","2023","The Journal of The Institute of Image Information and Television Engineers","","fairface-citing"
"Deteksi Wanita Berhijab dan tidak Berhijab dengan menggunakan Metode Mask RCNN","Fathorazi Nur Fajri; Gulpi Qorik Oktagalu Pratamasunu; Diyah Ayu Aprilingga","2022","Jurnal Edukasi dan Penelitian Informatika (JEPIN)","","fairface-citing"
"Tag-based annotation creates better avatars","Minghao Liu; Zeyu Cheng; Shen Sang; Jing Liu; James Davis","2023","Research Square","","fairface-citing"
