"title","year","abstract"
"Information-Theoretic Bias Assessment Of Learned Representations Of Pretrained Face Recognition","2021","As equality issues in the use of face recognition have garnered a lot of attention lately, greater efforts have been made to debiased deep learning models to improve fairness to minorities. However, there is still no clear definition nor sufficient analysis for bias assessment metrics. We propose an information-theoretic, independent bias assessment metric to identify degree of bias against protected demographic attributes from learned representations of pretrained facial recognition systems. Our metric differs from other methods that rely on classification accuracy or examine the differences between ground truth and predicted labels of protected attributes predicted using a shallow network. Also, we argue, theoretically and experimentally, that logits-level loss is not adequate to explain bias since predictors based on neural networks will always find correlations. Further, we present a synthetic dataset that mitigates the issue of insufficient samples in certain cohorts. Lastly, we establish a benchmark metric by presenting advantages in clear discrimination and small variation comparing with other metrics, and evaluate the performance of different debiased models with the proposed metric."
"Natural contrast statistics facilitate human face categorization","2022","The ability to detect faces in the environment is of utmost ecological importance for human social adaptation. While face categorization is efficient, fast and robust to sensory degradation, it is massively impaired when the facial stimulus does not match the natural contrast statistics of this visual category, i.e., the typically experienced ordered alternation of relatively darker and lighter regions of the face. To clarify this phenomenon, we characterized the contribution of natural contrast statistics to face categorization. Specifically, 31 human adults viewed various natural images of non-face categories at a rate of 12 Hz, with highly variable images of faces occurring every eight stimuli (1.5 Hz). As in previous studies, neural responses at 1.5 Hz as measured with high-density EEG provided an objective neural index of face categorization. Here, when face images were shown in their naturally experienced contrast statistics, the 1.5 Hz face categorization response emerged over occipito-temporal electrodes at very low contrast (5.1%, or .009 root-mean-square, RMS, contrast), quickly reaching optimal amplitude at 22.6% of contrast (i.e., RMS contrast of .041). Despite contrast negation preserving an image’s spectral and geometrical properties, negative contrast images required twice as much contrast to trigger a face categorization response, and three times as much to reach optimum. These observations characterize how the internally stored natural contrast statistics of the face category facilitate visual processing for the sake of fast and efficient face categorization."
"A Fair Generative Model Using LeCam Divergence","2023","We explore a fairness-related challenge that arises in generative models. The challenge is that biased training data with imbalanced demographics may yield a high asymmetry in size of generated samples across distinct groups. We focus on practically-relevant scenarios wherein demographic labels are not available and therefore the design of a fair generative model is non-straightforward. In this paper, we propose an optimization framework that regulates the unfairness under such practical settings via one statistical measure, LeCam (LC)-divergence. Specifically to quantify the degree of unfairness, we employ a balanced-yet-small reference dataset and then measure its distance with generated samples using the LC-divergence, which is shown to be particularly instrumental to a small size of the reference dataset. We take a variational optimization approach to implement the LC-based measure. Experiments on benchmark real datasets demonstrate that the proposed framework can significantly improve the fairness performance while maintaining realistic sample quality for a wide range of the reference set size all the way down to 1% relative to training set."
"Artificial Intelligence Approaches for Skin Anti-aging and Skin Resilience Research","2023",""
"CFEW: A Large-Scale Database for Understanding Child Facial Expression in Real World","2023","Currently, much progress has been achieved on adult facial expressions recognition. Few attentions have been paid to child facial expression analysis. A lack of publicly available large-scale child facial expression databases hinders the development of automatic coding for child facial expression behaviors. In this work, we constructed a new face database for understanding <bold xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">C</b>hild <bold xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">F</b>acial <bold xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">E</b>xpression in real <bold xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">W</b>orld (CFEW). The database contains three novelties: (1) the largest publicly available child facial expression database (11,000+ images); (2) covering full developmental range of 0–18-year-old child subjects; (3) rich annotations for facial expression labels, including discrete expression categories aka happy, neutral, disgust, angry, sad, cry, fear, surprise, sleepy and others, intensity of arousal and valence, and several types of facial action units (AUs). In addition, the images in this database cover several challenging conditions in real world, including frontal and non-frontal head poses, facial occlusions, various illuminations and low image resolution. Three dominant deep convolutional neural networks (i.e., VGG11bn, ResNet18 and DenseNet121) were used to conduct extensive baseline experiments for discrete facial expression classification, arousal and valence estimation and facial action units detection within database, and cross-database seven facial expressions recognition."
"Disentangling the latent space of GANs for semantic face editing","2023","Disentanglement research is a critical and important issue in the field of image editing. In order to perform disentangled editing on images generated by generative models, this paper presents an unsupervised, model-agnostic, two-stage trained editing framework. This work addresses the problem of discovering interpretable, disentangled directions of edited image attributes in the latent space of generative models. This effort's primary objective was to address the limitations discovered in previous research, mainly (a) the discovered editing directions are interpretable but significantly entangled, i.e., changes to one attribute affect the others and (b) Prior research has utilized direction discovery and direction disentanglement separately, and they can't work synergistically. More specifically, this paper proposes a two-stage training method that discovers the editing direction with semantics, perturbs the dimension of the direction vector, adjusts it with a penalty mechanism, and makes the editing direction more disentangled. This allows easy distinguishable image editing, such as age and facial expressions in facial images. Experimentally compared to other methods, the proposed method outperforms them both qualitatively and quantitatively in terms of interpretability, disentanglement, and distinguishability of the generated images. The implementation of our method is available at https://github.com/ydniuyongjie/twoStageForFaceEdit."
"Determinants of Shared and Idiosyncratic Contributions to Judgments of Faces","2023","Recent work has shown that the idiosyncrasies of the observer can contribute more to the variance of social judgments of faces than the features of the faces. However, it is unclear what conditions determine the relative contributions of idiosyncratic and shared variance. Here, we examine three conditions: type of judgment, response scales, and diversity of face stimuli. First, we show that for simpler, directly observable judgments (e.g., masculinity) shared exceeds idiosyncratic variance, whereas for more complex, less directly observable judgments (e.g., trustworthiness) idiosyncratic exceeds shared variance. Second, dichotomous forced-choice responses (i.e., “yes”/”no”) resulted in greater shared variance compared to multi-point Likert- type responses. Third, we show that judgments of more diverse face images increase the amount of shared variance. Finally, using machine learning methods, we examine how stimulus (e.g., emotion resemblance, skin luminosity) and observer variables (e.g., race, age) contribute to shared and idiosyncratic variance of judgments. Overall, our results indicate that an observer's age is the most consistent and best predictor of idiosyncratic variance contributions to face judgments measured in the current research."
"Leveraging Diffusion Perturbations for Measuring Fairness in Computer Vision","2024","Computer vision models have been known to encode harmful biases, leading to the potentially unfair treatment of historically marginalized groups, such as people of color. However, there remains a lack of datasets balanced along demographic traits that can be used to evaluate the downstream fairness of these models. In this work, we demonstrate that diffusion models can be leveraged to create such a dataset. We first use a diffusion model to generate a large set of images depicting various occupations. Subsequently, each image is edited using inpainting to generate multiple variants, where each variant refers to a different perceived race. Using this dataset, we benchmark several vision-language models on a multi-class occupation classification task. We find that images generated with non-Caucasian labels have a significantly higher occupation misclassification rate than images generated with Caucasian labels, and that several misclassifications are suggestive of racial biases. We measure a model’s downstream fairness by computing the standard deviation in the probability of predicting the true occupation label across the different identity groups. Using this fairness metric, we find significant disparities between the evaluated vision-and-language models. We hope that our work demonstrates the potential value of diffusion methods for fairness evaluations."
"Feature and Label Embedding Spaces Matter in Addressing Image Classifier Bias","2021","This paper strives to address image classifier bias, with a focus on both feature and label embedding spaces. Previous works have shown that spurious correlations from protected attributes, such as age, gender, or skin tone, can cause adverse decisions. To balance potential harms, there is a growing need to identify and mitigate image classifier bias. First, we identify in the feature space a bias direction. We compute class prototypes of each protected attribute value for every class, and reveal an existing subspace that captures the maximum variance of the bias. Second, we mitigate biases by mapping image inputs to label embedding spaces. Each value of the protected attribute has its projection head where classes are embedded through a latent vector representation rather than a common one-hot encoding. Once trained, we further reduce in the feature space the bias effect by removing its direction. Evaluation on biased image datasets, for multi-class, multi-label and binary classifications, shows the effectiveness of tackling both feature and label embedding spaces in improving the fairness of the classifier predictions, while preserving classification performance."
"CAT: Controllable Attribute Translation for Fair Facial Attribute Classification","2023",""
"Measuring Descriptive Representation at Scale: Methods for Predicting the Race and Ethnicity of Public Officials","2023","Political scientists have increasingly relied on Bayesian Improved Surname Geocoding (BISG) to predict individual-level race and ethnicity using surnames and geographic information. However, these predictions are prone to systematic measurement error when geographic variables are included as independent variables, leading to bias and an increased likelihood of false positives. We compare five estimation methods, including approaches that use names, geography, and images. We find that a hybrid approach that combines surname-based Bayesian estimation with the use of publicly available images in a convolutional neural network not only reduces bias in downstream analyses, but also improves predictive accuracy in a sample of over 16,000 local elected officials. We conclude with a discussion of ethical considerations and describe domains where the hybrid approach might be especially suitable."
"Characterizing the lack of diversity in musculoskeletal urgent care website content","2023","BACKGROUND: Musculoskeletal urgent care centers (MUCCs) are becoming an alternative to emergency departments for non-emergent orthopedic injuries as they can provide direct access to orthopedic specialty care. However, they tend to be located in more affluent geographies and are less likely to accept Medicaid insurance than general urgent care centers. MUCCs utilize websites to drive patients to their centers, and the content may influence patients' consumer behaviors and perceptions of the quality and accessibility of the MUCCs. Given that some MUCCs target insured patient populations, we evaluated the racial, gender, and body type diversity of website content for MUCCs. METHODS: Our group conducted an online search to create a list of MUCCs in the United States. For each MUCC, we analyzed the content featured prominently on the website (above the fold). For each website, we analyzed the race, gender, and body type of the featured model(s). MUCCs were classified according to their affiliation (i.e. academic versus private) and region (i.e. Northeast versus South). We performed chi-squared and univariate logistic regression to investigate trends in MUCC website content. RESULTS: We found that 14% (32/235) of website graphics featured individuals from multiple racial groups, 57% (135/235) of graphics featured women, and 2% (5/235) of graphics featured overweight or obese individuals. Multiracial presence in website graphics was associated with the presence of women on the websites and Medicaid acceptance. CONCLUSION: MUCC website content has the potential to impact patients' perceptions of medical providers and the medical care they receive. Most MUCC websites lack diversity based on race and body type. The lack of diversity in website content at MUCCs may introduce further disparities in access to orthopedic care."
"New Coarse-to-Fine Approaches for Age Estimation Based on Separable Convolutions","2023","In this paper, we study lightweight age estimation methods based on a coarse-to-fine approach in which the network performs age prediction with multiple stages. In each stage, the network only focuses on refining the coarse age prediction generated from the previous stage. The final age prediction is the combination of all staged prediction values. We observe that these stages have a causal relationship, that is, the output of each stage is highly correlated with outputs of its former stages. Thus, each stage should share the information of its previous stage before making a refined prediction. Based on this observation, we construct a new compact CNN model called Homologous Stagewise Regression Network (HSR-Net). In HSR-Net, each stage shares the information of the last convolutional layer and then generates its own refined value. In addition, HSR-Net also addresses the age group ambiguity problem by utilizing an easy dynamic range construction. In order to enhance the prediction performance of HSR-Nets, it is naive to increase the number of kernels in each convolutional layer of HSR-Nets. However, the constructed HSR-Net has extremely large parameter size. To address this problem, we propose the separable HSR-Nets (SepHSR-Nets) where standard convolutions are replaced by depth-wise separable convolutions in the convolutional layers of HSR-Nets. In general, the parameter size of SepHSR-Nets ranges from 10K to 75K without sacrificing prediction performance. Experimental results show that SepHSR-Nets achieve competitive performance compared with the state-of-the-art compact models. Our code, data, and models are available at <uri xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">https://github.com/yanjenhuang/hsr-net</uri>."
"Audio-Visual Child-Adult Speaker Classification in Dyadic Interactions","2024","Interactions involving children span a wide range of important domains from learning to clinical diagnostic and therapeutic contexts. Automated analyses of such interactions are motivated by the need to seek accurate insights and offer scale and robustness across diverse and wide-ranging conditions. Identifying the speech segments belonging to the child is a critical step in such modeling. Conventional child-adult speaker classification typically relies on audio modeling approaches, overlooking visual signals that convey speech articulation information, such as lip motion. Building on the foundation of an audio-only child-adult speaker classification pipeline, we propose incorporating visual cues through active speaker detection and visual processing models. Our framework involves video preprocessing, utterance-level child-adult speaker detection, and late fusion of modality-specific predictions. We demonstrate from extensive experiments that a visually aided classification pipeline enhances the accuracy and robustness of the classification. We show relative improvements of 2.38% and 3.97% in F1 macro score when one face and two faces are visible, respectively."
"An Empirical Investigation into Benchmarking Model Multiplicity for Trustworthy Machine Learning: A Case Study on Image Classification","2024","Deep learning models have proven to be highly successful. Yet, their over-parameterization gives rise to model multiplicity, a phenomenon in which multiple models achieve similar performance but exhibit distinct underlying behaviours. This multiplicity presents a significant challenge and necessitates additional specifications in model selection to prevent unexpected failures during deployment. While prior studies have examined these concerns, they focus on individual metrics in isolation, making it difficult to obtain a comprehensive view of multiplicity in trustworthy machine learning. Our work stands out by offering a one-stop empirical benchmark of multiplicity across various dimensions of model design and its impact on a diverse set of trustworthy metrics.In this work, we establish a consistent language for studying model multiplicity by translating several trustworthy metrics into accuracy under appropriate interventions. We also develop a framework, which we call multiplicity sheets, to benchmark multiplicity in various scenarios. We demonstrate the advantages of our setup through a case study in image classification and provide actionable insights into the impact and trends of different hyperparameters on model multiplicity. Finally, we show that multiplicity persists in deep learning models even after enforcing additional specifications during model selection, highlighting the severity of over-parameterization. The concerns of under-specification thus remain, and we seek to promote a more comprehensive discussion of multiplicity in trustworthy machine learning."
"Benchmarking the Fairness of Image Upsampling Methods","2024","Recent years have witnessed a rapid development of deep generative models for creating synthetic media, such as images and videos. While the practical applications of these models in everyday tasks are enticing, it is crucial to assess the inherent risks regarding their fairness. In this work, we introduce a comprehensive framework for benchmarking the performance and fairness of conditional generative models. We develop a set of metrics—inspired by their supervised fairness counterparts—to evaluate the models on their fairness and diversity. Focusing on the specific application of image upsampling, we create a benchmark covering a wide variety of modern upsampling methods. As part of the benchmark, we introduce UnfairFace, a subset of FairFace that replicates the racial distribution of common large-scale face datasets. Our empirical study highlights the importance of using an unbiased training set and reveals variations in how the algorithms respond to dataset imbalances. Alarmingly, we find that none of the considered methods produces statistically fair and diverse results. All experiments can be reproduced using our provided repository.1"
"Representation Biases in Time-Series Human Activity Recognition with Small Sample Sizes","2024",""
"M<sup>3</sup> Stroke: Multi-Modal Mobile AI for Emergency Triage of Mild to Moderate Acute Strokes","2024","Over 22 % of ischemic stroke patients are overlooked during triage in the emergency departments, particularly those with mild or moderate stroke which resembles stroke mimics in symptoms. While pronounced neurological conditions can be captured with existing AI solutions, identifying stroke patients with minor symptoms remains under-explored due to data scarcity, noise complexity, and feature subtlety. We propose M<sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">3</sup> Stroke, a MultiModal Mobile AI tool, to enhance the accuracy and efficiency of stroke triage for these patients. As the first stroke screening tool to integrate novel audio-visual multimodal AI into efficient mobile computing, M<sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">3</sup> Stroke runs seamlessly on common iOS devices and significantly outperforms prior methods. Trained and evaluated on a dataset of 269 patients suspected of stroke (191 stroke/78 non-stroke), M<sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">3</sup> Stroke model achieves 80.85 % accuracy, 60.00 % specificity, and 90.63 % sensitivity, demonstrating 14.29 % gain in specificity and 20.44 % higher sensitivity compared with traditional stroke triage methods. The tool's performance, robustness, and fairness across diverse demographics confirm its potential to improve ER triage, aiding tele-stroke detection and self-diagnosis, and enhancing life quality for elderly patients."
"InvDiff: Invariant Guidance for Bias Mitigation in Diffusion Models","2025","As one of the most successful generative models, diffusion models have demonstrated remarkable efficacy in synthesizing high-quality images. These models learn the underlying high-dimensional data distribution in an unsupervised manner. Despite their success, diffusion models are highly data-driven and prone to inheriting the imbalances and biases present in real-world data. Some studies have attempted to address these issues by designing text prompts for known biases or using bias labels to construct unbiased data. While these methods have shown improved results, real-world scenarios often contain various unknown biases, and obtaining bias labels is particularly challenging. In this paper, we emphasize the necessity of mitigating bias in pre-trained diffusion models without relying on auxiliary bias annotations. To tackle this problem, we propose a framework, InvDiff, which aims to learn invariant semantic information for diffusion guidance. Specifically, we propose identifying underlying biases in the training data and designing a novel debiasing training objective. Then, we employ a lightweight trainable module that automatically preserves invariant semantic information and uses it to guide the diffusion model's sampling process toward unbiased outcomes simultaneously. Notably, we only need to learn a small number of parameters in the lightweight learnable module without altering the pre-trained diffusion model. Furthermore, we provide a theoretical guarantee that the implementation of InvDiff is equivalent to reducing the error upper bound of generalization. Extensive experimental results on three publicly available benchmarks demonstrate that InvDiff effectively reduces biases while maintaining the quality of image generation. Our code is available at https://github.com/Hundredl/InvDiff."
"Coverage for Detecting Bias in Facial Recognition Datasets","2025","Facial recognition algorithms are known to exhibit varying performance across different subgroups defined by factors like race and gender. These performance differences have been attributed to disparities in the representation of subgroups in the training data. Even when trained on large-scale datasets (i.e., “big data”), these disparities may persist. When the underlying training data is biased, the trained model is likely to be biased as well. Biased facial recognition models may be unreliable for underrepresented groups and lead to real world failures such as incorrect access control decisions in biometric systems or misidentification of individuals. Therefore, methods for assessing the breadth of intersectional contexts covered by datasets during the pre-processing phase before significant resources are invested in training models are essential. This work explores whether frequency coverage can detect data bias and whether coverage correlates with deep learning model performance via experiments on two facial recognition datasets with attributes for gender, race, and age. This work also explores the usefulness of visualizations to practitioners in making decisions about data."
"Representations of Racial Minorities in Popular Movies: A Content-Analytic Synergy of Computer Vision and Network Science","2021","In the Hollywood film industry, racial minorities remain underrepresented. Characters from racially underrepresented groups receive less screen time, fewer central story positions, and frequently inherit plotlines, motivations, and actions that are primarily driven by White characters. Currently, there are no clearly defined, standardized, and scalable metrics for taking stock of racial minorities’ cinematographic representation. In this paper, we combine methodological tools from computer vision and network science to develop a content analytic framework for identifying visual and structural racial biases in film productions. We apply our approach on a set of 89 popular, full-length movies, demonstrating that this method provides a scalable examination of racial inclusion in film production and predicts movie performance. We integrate our method into larger theoretical discussions on audiences’ perception of racial minorities and illuminate future research trajectories towards the computational assessment of racial biases in audiovisual narratives."
"Ethics of AI: Do the Face Detection Models Act with Prejudice?","2021",""
"Simplicity Bias Leads to Amplified Performance Disparities","2023","Which parts of a dataset will a given model find difficult? Recent work has shown that SGD-trained models have a bias towards simplicity, leading them to prioritize learning a majority class, or to rely upon harmful spurious correlations. Here, we show that the preference for ‘easy’ runs far deeper: A model may prioritize any class or group of the dataset that it finds simple—at the expense of what it finds complex—as measured by performance difference on the test set. When subsets with different levels of complexity align with demographic groups, we term this difficulty disparity, a phenomenon that occurs even with balanced datasets that lack group/label associations. We show how difficulty disparity is a model-dependent quantity, and is further amplified in commonly-used models as selected by typical average performance scores. We quantify an amplification factor across a range of settings in order to compare disparity of different models on a fixed dataset. Finally, we present two real-world examples of difficulty amplification in action, resulting in worse-than-expected performance disparities between groups even when using a balanced dataset. The existence of such disparities in balanced datasets demonstrates that merely balancing sample sizes of groups is not sufficient to ensure unbiased performance. We hope this work presents a step towards measurable understanding of the role of model bias as it interacts with the structure of data, and call for additional model-dependent mitigation methods to be deployed alongside dataset audits."
"Contextual Emotion Learning Challenge","2021","Emotion recognition via vision has been deeply associated with facial expressions, and the inference of emotions has, more often than not, been based on the same. However, context, both environmental and social, plays an imperative role in emotion recognition but has not been incorporated widely so far. The meaning of emotion might entirely switch when shifted from one setting to another if only facial expressions are taken into account. Moreover, there exists no study in the Indian context about the same. To cater to this issue, we generate and introduce the Indian Contextual Emotion Recognition (ICER) dataset based on the multi-ethnic Indian context. This paper summarises the Contextual Emotion Learning Challenge (CELC 2021) organized in conjunction with the 16th IEEE Conference on Automatic Face and Gesture Recognition (FG) 2021. We outline the tasks posed in the challenge, the novel dataset, along with its challenges and the evaluation method. Lastly, we conclude by discussing the possible future directions."
"3D Face Cartoonizer: Generating Personalized 3D Cartoon Faces from 2D Real Photos with a Hybrid Dataset","2022",""
"Fairness in Predictive Learning Analytics: A Case Study in Online STEM Education","2023","In this study, we investigate the fairness of predictive models in online courses. Our focus is on STEM courses and the prediction of underperforming students. The analysis of the model's fairness is dedicated to students' protected information: gender and age. The Open University Learning Analytics Dataset is selected for this study and two moments of prediction were created for the predictive models: before the midterm and two weeks before the final. The fairness of prediction models is assessed under three conditions: 1) models incorporating students' demographics and interactions with the virtual learning environment, 2) models relying solely on students' interactions with the online learning environment, and 3) models with imposed constraints on age and gender. The results show that hiding students' protected information lowers the fairness of the models. Contrary to that, using these protected attributes to enforce constraints improved fairness while still having good overall accuracy."
"Mutual Information-Based Fair Active Learning","2024","Machine learning (ML) has become central to data-driven decision making, thereby necessitating fairness to individuals and society. Quality and quantity of labeled data play a crucial role in realizing fair ML models as inadequate and unreliable labels can result in biased outcomes. In this context, active learning methods are regarded as promising pathways for efficiently collecting labeled data. In this paper, we propose a fair active learning method that characterizes the reduction in unfairness associated with ML models by quantifying the mutual information between the label predictions and sensitive attributes using efficient Bayesian sampling methods. Extensive experiments on multiple image and text datasets demonstrate that our method yields promising fairness-accuracy tradeoff when compared to existing deep learning-based methods."
"A Self-Supervised Learning Pipeline for Demographically Fair Facial Attribute Classification","2024","Published research highlights the presence of demographic bias in automated facial attribute classification. The proposed bias mitigation techniques are mostly based on supervised learning, which requires a large amount of labeled training data for generalizability and scalability. However, labeled data is limited, requires laborious annotation, poses privacy risks, and can perpetuate human bias. In contrast, self-supervised learning (SSL) capitalizes on freely available unlabeled data, rendering trained models more scalable and generalizable. However, these label-free SSL models may also introduce biases by sampling false negative pairs, especially at low-data regimes (< 200K images) under low compute settings. Further, SSL-based models may suffer from performance degradation due to a lack of quality assurance of the unlabeled data sourced from the web. This paper proposes a fully self-supervised pipeline for demographically fair facial attribute classifiers. Leveraging completely unlabeled data pseudolabeled via pre-trained encoders, diverse data curation techniques, and meta-learning-based weighted contrastive learning, our method significantly outperforms existing SSL approaches proposed for downstream image classification tasks. Extensive evaluations on the FairFace and CelebA datasets demonstrate the efficacy of our pipeline in obtaining fair performance over existing baselines. Thus, setting a new benchmark for SSL in the fairness of facial attribute classification. To facilitate reproducibility, the code, and the curated dataset information is available at https://github.com/nsf-ocular-bias/ssl-ijcb."
"FEED: Fairness-Enhanced Meta-Learning for Domain Generalization","2024","Generalizing to out-of-distribution data while ensuring model fairness presents a significant challenge in meta-learning. This problem aims to find fairness-aware, invariant classifier parameters trained on data from related training domains that experience distribution shifts in non-sensitive features and varying dependencies between model predictions and sensitive attributes. Such parameters enable classifiers to generalize effectively to unknown, distinct test domains. Existing state-of-the-art methods either focus on domain generalization without considering fairness or exclusively model domain shifts at varying fairness levels. In this paper, we introduce Fairness-Enhanced Meta-Learning for Domain Generalization (FEED), a novel framework that disentangles latent data representations into content, style, and sensitive vectors. This disentanglement approach promotes robust model generalization across diverse domains while rigorously upholding fairness constraints. Unlike conventional methods that concentrate on domain invariance or sensitivity to distributional shifts, our model embeds a fairnessaware invariance criterion within the meta-learning process, ensuring consistently fair learned parameters across domains with varied characteristics. Extensive experiments on multiple benchmarks validate our framework’s effectiveness, demonstrating not only superior accuracy and fairness maintenance but also substantial improvements over state-of-the-art methods in domain generalization tasks."
"An Analysis of Bias in Facial Image Processing: A Review of Datasets","2023","Facial image processing is a major research area in digital signal processing. According to recent studies, most commercial facial image processing systems are prejudiced by bias towards specific races, ethnicities, cultures, ages, and genders. In some circumstances, bias may be traced back to the algorithms employed, while in others, bias can be elicited from the insufficient representations in datasets. This study tackles bias based on insufficient representations in datasets. To tackle this, the research undertakes an exploratory review in which the context of facial image dataset is analyzed to thoroughly examine the rate of bias. Facial image processing systems are developed using widely publicly available datasets since generating datasets are costly. However, these datasets are strongly biased towards Whites and Asians, and other geo-diversity such as indigenous Africans are underrepresented. In this study, 40 large publicly accessible facial image data sets were examined. The races of the datasets used for this study were visualized using the t-distributed Stochastic Neighbor Embedding (t-SNE) visualization method. Then, to measure the geo-diversity and rate of bias of the dataset, k-means clustering, principal component analysis (PCA) and the Oriented FAST and Rotated BRIEF (ORB) feature extraction techniques were used. The findings from this study indicate that these datasets seem to exhibit an obvious ethnicity representation bias, particularly for native African facial images; as a result, additional African indigenous datasets are required to reduce the bias currently present in the most publicly available facial image datasets."
"FRLL-Beautified: A Dataset of Fun Selfie Filters with Facial Attributes","2023",""
"Fair Robust Active Learning by Joint Inconsistency","2023","We introduce a new learning framework, Fair Robust Active Learning (FRAL), generalizing conventional active learning to fair and adversarial robust scenarios. This framework enables us to achieve fair-performance and fairrobustness with limited labeled data, which is essential for various annotation-expensive visual applications with safety-critical needs. However, existing fairness-aware data selection strategies face two challenges when applied to the FRAL framework: they are either ineffective under severe data imbalance or inefficient due to huge computations of adversarial training. To address these issues, we develop a novel Joint INconsistency (JIN) method that exploits prediction inconsistencies between benign and adversarial inputs and between standard and robust models. By leveraging these two types of easy-to-compute inconsistencies simultaneously, JIN can identify valuable samples that contribute more to fairness gains and class imbalance mitigation in both standard and adversarial robust settings. Extensive experiments on diverse datasets and sensitive groups demonstrate that our approach outperforms existing active data selection baselines, achieving fair-performance and fairrobustness under white-box PGD attacks."
"Zero-Shot Demographically Unbiased Image Generation From an Existing Biased StyleGAN","2024","Face recognition systems have made significant strides thanks to data-heavy deep learning models, but these models rely on large privacy-sensitive datasets. Recent work in facial analysis and recognition have thus started making use of synthetic datasets generated from GANs and diffusion based generative models. These models, however, lack fairness in terms of demographic representation and can introduce the same biases in the trained downstream tasks. This can have serious societal and security implications. To address this issue, we propose a methodology that generates unbiased data from a biased generative model using an evolutionary algorithm. We show results for StyleGAN2 model trained on the Flicker Faces High Quality dataset to generate data for singular and combinations of demographic attributes such as Black and Woman. We generate a large racially balanced dataset of 13.5 million images, and show that it boosts the performance of facial recognition and analysis systems whilst reducing their biases. We have made our code-base (<uri xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">https://github.com/anubhav1997/youneednodataset</uri>) public to allow researchers to reproduce our work."
"Review on fairness in image recognition","2024","在过去的几十年里，图像识别技术经历了迅速发展，并深刻地改变着人类社会的进程。发展图像识别技术的目的是通过减少人力劳动和增加便利来造福人类。然而，最近的研究和应用表明，图像识别系统可能会表现出偏见甚至歧视行为，从而对个人和社会产生潜在的负面影响。因此，图像识别的公平性研究受到广泛关注，避免图像识别系统可能给人们带来的偏见与歧视，才能使人完全信任该项技术并与之和谐相处。本文对图像识别的公平性研究进行了全面的梳理回顾。首先，简要介绍了偏见3个方面的来源，即数据不平衡、属性间的虚假关联和群体差异性；其次，对于常用的数据集和评价指标进行汇总；然后，将现有的去偏见算法划分为重加权（重采样）、图像增强、特征增强、特征解耦、度量学习、模型自适应和后处理7类，并分别对各类方法进行介绍，阐述了各方法的优缺点；最后，对该领域的未来研究方向和机遇挑战进行了总结和展望。整体而言，学术界对图像识别公平性的研究已经取得了较大的进展，然而该领域仍处于发展初期，数据集和评价指标仍有待完善，针对未知偏见的公平性算法有待研究，准确率和公平性的权衡困境有待突破，针对细分任务的独特发展趋势开始呈现，视频数据的去偏见算法逐渐受到关注。"
"Privacy-preserving inference resistant to model extraction attacks","2024",""
"Study on the Generation and Comparative Analysis of Ethnically Diverse Faces for Developing a Multiracial Face Recognition Model","2024","Despite major breakthroughs in facial recognition technology, problems with bias and a lack of diversity still plague face recognition systems today. To address these issues, we created synthetic face data using a diffusion-based generative model and fine-tuned already-high-performing models. To achieve a more balanced overall performance across various races, the synthetic dataset was created by following the dual-condition face generator (DCFace) resolution and using race-varied data from BUPT-BalancedFace as well as FairFace. To verify the proposed method, we fine-tuned a pre-trained improved residual networks (IResnet)-100 model with additive angular margin (ArcFace) loss using the synthetic dataset. The results show that the racial gap in performance is reduced from 0.0107 to 0.0098 in standard deviation terms, while the overall accuracy increases from 96.125% to 96.1625%. The improved racial balance and diversity in the synthetic dataset led to an improvement in model fairness, demonstrating that this resource could facilitate more equitable face recognition systems. This method provides a low-cost way to address data diversity challenges and help make face recognition more accurate across different demographic groups. The results of the study highlighted that more advanced synthesized datasets, created through diffusion-based models, can also result in increased facial recognition accuracy with greater fairness, emphasizing that these should not be ignored by developers aiming to create artificial intelligence (AI) systems."
